0.000000 	 0.000000 	 5.000000 	 10.000000
10.000000 	 5.500000 	 5.000000 	 10.000000
20.000000 	 14.670394 	 5.000000 	 9.926486
30.000000 	 23.927437 	 5.000000 	 9.893416
40.000000 	 33.119026 	 5.000000 	 9.900377
50.000000 	 42.175861 	 5.000000 	 9.946315
60.000000 	 51.024120 	 5.000000 	 10.029899
70.000000 	 59.593521 	 5.000000 	 10.149512
80.000000 	 67.817841 	 5.000000 	 10.303271
90.000000 	 75.635399 	 5.000000 	 10.489044
100.000000 	 82.989464 	 5.000000 	 10.704480
110.000000 	 89.828590 	 5.000000 	 10.947032
120.000000 	 96.106972 	 5.000000 	 11.213984
130.000000 	 100.000000 	 5.000000 	 11.502476
140.000000 	 100.000000 	 5.000000 	 11.801941
150.000000 	 100.000000 	 5.000000 	 12.095601
160.000000 	 100.000000 	 5.000000 	 12.383569
170.000000 	 100.000000 	 5.000000 	 12.665956
180.000000 	 100.000000 	 5.000000 	 12.942869
190.000000 	 100.000000 	 5.000000 	 13.214415
200.000000 	 100.000000 	 5.000000 	 13.480696
210.000000 	 100.000000 	 5.000000 	 13.741816
220.000000 	 100.000000 	 5.000000 	 13.997875
230.000000 	 100.000000 	 5.000000 	 14.248970
240.000000 	 100.000000 	 5.000000 	 14.495198
250.000000 	 100.000000 	 5.000000 	 14.736654
260.000000 	 100.000000 	 5.000000 	 14.973430
270.000000 	 100.000000 	 5.000000 	 15.205616
280.000000 	 100.000000 	 5.000000 	 15.433302
290.000000 	 100.000000 	 5.000000 	 15.656573
300.000000 	 100.000000 	 5.000000 	 15.875518
310.000000 	 100.000000 	 5.000000 	 16.090218
320.000000 	 100.000000 	 5.000000 	 16.300756
330.000000 	 100.000000 	 5.000000 	 16.507215
340.000000 	 99.941032 	 5.000000 	 16.709671
350.000000 	 94.907028 	 5.000000 	 16.907951
360.000000 	 89.554764 	 5.000000 	 17.080969
370.000000 	 83.937462 	 5.000000 	 17.227859
380.000000 	 78.109314 	 5.000000 	 17.348000
390.000000 	 72.124977 	 5.000000 	 17.441011
400.000000 	 66.039139 	 5.000000 	 17.506758
410.000000 	 59.906036 	 5.000000 	 17.545334
420.000000 	 53.778999 	 5.000000 	 17.557066
430.000000 	 47.710026 	 5.000000 	 17.542500
440.000000 	 41.749359 	 5.000000 	 17.502392
450.000000 	 35.945126 	 5.000000 	 17.437698
460.000000 	 30.342953 	 5.000000 	 17.349562
